image_id	image_file	gender	style	top_category	bottom_category	onepiece_category
1	pair0_query.jpg	F	Casual	none	none	dress
2	pair2_query.jpg	F	Casual	Button-Down	none	none
3	pair5_query.jpg	M	Casual	none	sweatshorts	none
4	pair8_query.jpg	F	Formal	none	none	dress
5	pair11_query.jpg	F	Casual	none	Leggings	Coat
6	pair15_query.jpg	F	Casual	none	none	dress
7	pair22_query.jpg	M	Casual	Hoodie	none	none
8	pair24_query.jpg	F	Casual	Blouse	none	none
9	pair27_query.jpg	F	Casual	Tee	Shorts	none
10	pair30_query.jpg	M	Casual	Tee	none	none
11	pair34_query.jpg	F	Casual	Top	Shorts	none
12	pair51_query.jpg	F	Casual	Tank	Skirt	none
13	pair58_query.jpg	F	Casual	Tee	none	none
14	pair64_query.jpg	F	Casual	none	none	Coat
15	pair74_query.jpg	M	Casual	none	Jeans	none
16	pair78_query.jpg	F	Formal	none	none	dress
17	pair97_query.jpg	F	Formal	Blazer	none	none
18	pair122_query.jpg	F	Casual	Sweater	none	none
19	pair138_query.jpg	M	Casual	Tee	none	none
20	pair155_query.jpg	F	Formal	none	none	dress
